::1 - - [03/Feb/2013:02:33:05 +0000] "OPTIONS * HTTP/1.0" 200 152 "-" "Apache/2.2.16 (Debian) (internal dummy connection)"
66.249.78.114 - - [03/Feb/2013:03:30:27 +0000] "GET /robots.txt HTTP/1.1" 404 508 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
137.43.92.119 - - [04/Feb/2013:00:00:00 +0000] "GET /node/feed HTTP/1.0" 200 47208 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7) Gecko/20040803 Firefox/0.9.3"
91.221.242.129 - - [04/Feb/2013:00:45:46 +0000] "GET /favicon.ico HTTP/1.1" 404 507 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:18.0) Gecko/20100101 Firefox/18.0"
137.43.92.119 - - [05/Feb/2013:00:00:00 +0000] "GET /node/feed HTTP/1.0" 200 47208 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7) Gecko/20040803 Firefox/0.9.3"
78.106.172.211 - - [05/Feb/2013:00:22:02 +0000] "GET /favicon.ico HTTP/1.0" 404 535 "http://webalta.ru/srch?q=%D0%BC%D0%B8%D0%BD%D0%BE%D0%B8%D1%81%D0%BA%D0%B0%D1%82%D0%B5%D0%BB%D0%B8+%D0%B2%D0%B8%D0%BC-210&page=20" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17"
137.43.92.119 - - [06/Feb/2013:00:00:00 +0000] "GET /node/feed HTTP/1.0" 200 47208 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7) Gecko/20040803 Firefox/0.9.3"
175.111.88.6 - - [06/Feb/2013:00:15:22 +0000] "GET /xmlrpc.php HTTP/1.1" 404 496 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.2) Gecko/20100115 Firefox/3.6"
137.43.92.119 - - [07/Feb/2013:00:00:00 +0000] "GET /node/feed HTTP/1.0" 200 45913 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7) Gecko/20040803 Firefox/0.9.3"
189.10.84.112 - - [07/Feb/2013:00:47:03 +0000] "GET /w00tw00t.at.blackhats.romanian.anti-sec:) HTTP/1.1" 404 488 "-" "ZmEu"
137.43.92.119 - - [08/Feb/2013:00:00:00 +0000] "GET /node/feed HTTP/1.0" 200 45896 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7) Gecko/20040803 Firefox/0.9.3"
217.212.231.48 - - [08/Feb/2013:00:00:36 +0000] "GET /favicon.ico HTTP/1.1" 404 507 "http://irc.linsovet.org.ua/logs/linux_raw.old/2008/linux.log.18May2008" "Opera/9.80 (J2ME/MIDP; Opera Mini/4.1.15082/28.3782; U; ru) Presto/2.8.119 Version/11.10"
137.43.92.119 - - [09/Feb/2013:00:00:00 +0000] "GET /node/feed HTTP/1.0" 200 45896 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7) Gecko/20040803 Firefox/0.9.3"
88.228.78.93 - - [09/Feb/2013:00:13:48 +0000] "GET /index.php?option=com_user&view=reset&layout=confirm HTTP/1.1" 404 533 "-" "-"
223.85.245.54 - - [09/Feb/2013:20:06:48 +0000] "GET /admin/phpmyadmin/scripts/setup.php HTTP/1.1" 404 479 "-" "ZmEu"
137.43.92.119 - - [10/Feb/2013:00:00:00 +0000] "GET /node/feed HTTP/1.0" 200 45896 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7) Gecko/20040803 Firefox/0.9.3"
46.73.224.34 - - [10/Feb/2013:00:03:23 +0000] "GET /favicon.ico HTTP/1.1" 404 507 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17"
137.43.92.119 - - [11/Feb/2013:00:00:00 +0000] "GET /node/feed HTTP/1.0" 200 45896 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7) Gecko/20040803 Firefox/0.9.3"
77.123.197.23 - - [11/Feb/2013:00:05:07 +0000] "GET /favicon.ico HTTP/1.1" 404 1049 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:18.0) Gecko/20100101 Firefox/18.0"
137.43.92.119 - - [12/Feb/2013:00:00:00 +0000] "GET /node/feed HTTP/1.0" 200 45896 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7) Gecko/20040803 Firefox/0.9.3"
31.31.99.147 - - [12/Feb/2013:00:36:30 +0000] "GET /favicon.ico HTTP/1.1" 404 507 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.17 (KHTML, like Gecko) Chrome/24.0.1312.57 Safari/537.17"
137.43.92.119 - - [13/Feb/2013:00:00:00 +0000] "GET /node/feed HTTP/1.0" 200 45896 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7) Gecko/20040803 Firefox/0.9.3"
83.142.167.5 - - [13/Feb/2013:02:25:08 +0000] "GET /favicon.ico HTTP/1.0" 404 508 "-" "Mozilla/5.0 (X11; Linux i686; rv:10.0.9) Gecko/20100101 Firefox/10.0.9"
137.43.92.119 - - [14/Feb/2013:00:00:00 +0000] "GET /node/feed HTTP/1.0" 200 45896 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7) Gecko/20040803 Firefox/0.9.3"
95.108.240.252 - - [14/Feb/2013:00:59:06 +0000] "GET /robots.txt HTTP/1.1" 404 534 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
137.43.92.119 - - [15/Feb/2013:00:00:00 +0000] "GET /node/feed HTTP/1.0" 200 45896 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7) Gecko/20040803 Firefox/0.9.3"
95.108.240.252 - - [15/Feb/2013:00:25:14 +0000] "GET /robots.txt HTTP/1.1" 404 534 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
137.43.92.119 - - [16/Feb/2013:00:00:01 +0000] "GET /node/feed HTTP/1.0" 200 45896 "-" "Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7) Gecko/20040803 Firefox/0.9.3"
